commitSHA,JavaFile,oldFunctionSignature,newFunctionSignature
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/DrawChartActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/DynamicalAddingActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/HorizontalBarChartActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/InvertedLineChartActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity1.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity2.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/MultiLineChartActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/PieChartActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/RealtimeLineChartActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/ScatterChartActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartExample/src/com/xxmassdeveloper/mpchartexample/StackedBarActivity.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartLib/src/com/github/mikephil/charting/charts/BarChart.java,"protected Highlight getHighlight(double touchPositionBase)","protected Highlight getHighlight(double xPosition, double yPosition)"
"02e8149f5d40cdabc4692f1dbac93ed9d20309f7",MPChartLib/src/com/github/mikephil/charting/listener/OnChartValueSelectedListener.java,"public void onValueSelected(Entry e, int dataSetIndex)","public void onValueSelected(Entry e, int dataSetIndex, Highlight h)"
"e63c1fa870b65f74e8daacfa59b337257c32e0e0",MPChartLib/src/com/github/mikephil/charting/renderer/BarChartRenderer.java,"protected void drawValue(Canvas c, float val, float xPos, float yPos)","protected void drawValue(Canvas c, float val, float xPos, float yPos, ValueFormatter formatter)"
"e63c1fa870b65f74e8daacfa59b337257c32e0e0",MPChartLib/src/com/github/mikephil/charting/renderer/HorizontalBarChartRenderer.java,"protected void drawValue(Canvas c, float val, float xPos, float yPos)","protected void drawValue(Canvas c, float val, float xPos, float yPos, ValueFormatter formatter)"
"865d5f33ec192359764de433c37a942055017ae6",MPChartExample/src/com/xxmassdeveloper/mpchartexample/CombinedChartActivity.java,"private float getRandom()","private float getRandom(float range, float startsfrom)"
"934b20bd5f2ab87a201740a6cdc578704c3d08e6",MPChartLib/src/com/github/mikephil/charting/utils/Transformer.java,"public void prepareMatrixValuePx(float deltaX, float deltaY, float yChartMin)","public void prepareMatrixValuePx(float xChartMin, float deltaX, float deltaY, float yChartMin)"
"5bd73bcb0a98d43ea0919e1e1f938c793b3a944c",MPChartLib/src/com/github/mikephil/charting/renderer/ViewPortHandler.java,"public Matrix refresh(Matrix newMatrix, ChartInterface chart)","public Matrix refresh(Matrix newMatrix, ChartInterface chart, boolean invalidate)"
"7beee61c22961c883027d48bb8a0139059d1ddfe",MPChartLib/src/com/github/mikephil/charting/renderer/YAxisRenderer.java,"public void computeAxis(ChartInterface chart)","public void computeAxis(float yMin, float yMax)"
"7beee61c22961c883027d48bb8a0139059d1ddfe",MPChartLib/src/com/github/mikephil/charting/renderer/YAxisRendererRadarChart.java,"public void computeAxis(ChartInterface chart)","public void computeAxis(float yMin, float yMax)"
"0a5202da009279728c4e2b6f4f0d4b816a249feb",MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java,"public PointF getPosition(Entry e)","public PointF getPosition(Entry e, AxisDependency axis)"
"0a5202da009279728c4e2b6f4f0d4b816a249feb",MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java,"public PointD getValuesByTouchPoint(float x, float y)","public PointD getValuesByTouchPoint(float x, float y, AxisDependency axis)"
"0a5202da009279728c4e2b6f4f0d4b816a249feb",MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java,"public PointD getPixelsForValues(float x, float y)","public PointD getPixelsForValues(float x, float y, AxisDependency axis)"
"0a5202da009279728c4e2b6f4f0d4b816a249feb",MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java,"public float getYValueByTouchPoint(float x, float y)","public float getYValueByTouchPoint(float x, float y, AxisDependency axis)"
"0a5202da009279728c4e2b6f4f0d4b816a249feb",MPChartLib/src/com/github/mikephil/charting/renderer/Transformer.java,"public void prepareMatrixValuePx(ChartInterface chart)","public void prepareMatrixValuePx(ViewPortHandler viewport, float deltaX, float deltaY, float yChartMin)"
"0a5202da009279728c4e2b6f4f0d4b816a249feb",MPChartLib/src/com/github/mikephil/charting/renderer/Transformer.java,"public void prepareMatrixOffset(ChartInterface chart)","public void prepareMatrixOffset(ViewPortHandler viewport, boolean inverted)"
"f07b306b5193265a7746c3c8c6366568ca8607d3",MPChartExample/src/com/example/mpchartexample/simple/SimpleFragment.java,"protected ChartData generateData(int dataSets, float range)","protected ChartData generateData(int dataSets, float range, int count)"
"a6f35d574e8dd6047ce96e6a06a58684446c4255",MPChartExample/src/com/example/mpchartexample/simple/SimpleFragment.java,"protected ChartData generateData()","protected ChartData generateData(int dataSets, float range)"
"30e54a3aa3a7a35fcd1b33f98df471c231a8740e",MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java,"public void setYRange(float minY, float maxY)","public void setYRange(float minY, float maxY, boolean invalidate)"
"60f58144b22d6efefae49f4c8de7fd8d3591c26c",MPChartLib/src/com/github/mikephil/charting/utils/Utils.java,"public static String formatNumber(float number, int digitCount)","public static String formatNumber(float number, int digitCount, boolean separateThousands)"
"9ff9673fb8d9f0d16ecc596b80efe827681e967c",MPChartLib/src/com/github/mikephil/charting/charts/BarLineChartBase.java,"public void setYRange(float minY, float maxY)","public void setYRange(float minY, float maxY, int decimals)"
"1ab90fe1bcb6b0337935cec221341c6552405160",MPChartLib/src/com/github/mikephil/charting/Chart.java,"public boolean needsHighlight(int index)","public boolean needsHighlight(int index, int dataSet)"
